"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2016","10,665.01","10,492.97","10,827.72","10,349.06","1.85B","1.47%"
"09/01/2016","10,511.02","10,622.33","10,780.42","10,189.94","2.24B","-0.77%"
"08/01/2016","10,592.69","10,426.36","10,802.32","10,092.53","1.62B","2.47%"
"07/01/2016","10,337.50","9,742.84","10,381.90","9,304.01","1.87B","6.79%"
"06/01/2016","9,680.09","10,242.78","10,340.84","9,214.10","2.50B","-5.68%"
"05/01/2016","10,262.74","10,091.17","10,365.24","9,737.00","1.78B","2.23%"
"04/01/2016","10,038.97","9,833.26","10,474.38","9,484.75","1.85B","0.74%"
"03/01/2016","9,965.51","9,482.66","10,112.17","9,471.09","2.10B","4.95%"
"02/01/2016","9,495.40","9,823.73","9,827.10","8,699.29","2.53B","-3.09%"
"01/01/2016","9,798.11","10,485.81","10,485.91","9,314.57","2.23B","-8.80%"
"12/01/2015","10,743.01","11,422.47","11,430.38","10,122.95","1.84B","-5.62%"
"11/01/2015","11,382.23","10,749.98","11,430.87","10,607.46","1.73B","4.90%"
"10/01/2015","10,850.14","9,757.04","10,886.98","9,396.34","2.19B","12.32%"
"09/01/2015","9,660.44","10,073.74","10,512.61","9,325.05","2.66B","-5.84%"
"08/01/2015","10,259.46","11,295.50","11,669.86","9,338.20","2.18B","-9.28%"
"07/01/2015","11,308.99","11,050.32","11,802.37","10,652.79","1.89B","3.33%"
"06/01/2015","10,944.97","11,462.97","11,635.85","10,797.85","2.24B","-4.11%"
"05/01/2015","11,413.82","11,506.84","11,920.31","11,167.55","1.78B","-0.35%"
"04/01/2015","11,454.38","11,902.92","12,390.75","11,331.37","1.81B","-4.28%"
"03/01/2015","11,966.17","11,408.28","12,219.05","11,193.30","2.18B","4.95%"
"02/01/2015","11,401.66","10,719.18","11,401.66","10,594.32","1.83B","6.61%"
"01/01/2015","10,694.32","9,869.13","10,810.57","9,382.82","2.37B","9.06%"
"12/01/2014","9,805.55","9,915.74","10,093.03","9,219.05","1.81B","-1.76%"
"11/01/2014","9,980.85","9,305.73","9,992.67","9,148.78","1.84B","7.01%"
